nbIter,stepForStorage,beta_high,Q,alpha,Qprior,p_pr,p_srev,p_com,beta_low,p_high
10000,10,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
10000,10,2,1,1,1,1,1,1,2,1
10000,10,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.05
