nbIter,stepForStorage,beta,Q,alpha,shape,Qprior,p_pr,p_srev,p_com
10000,10,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
10000,10,2,1,1,2,1,1,1,1
10000,10,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
