model,beta_high,Q,alpha,Qprior,p_pr,p_srev,p_com,beta_low,p_high
T,1,1,0,0,0,0,0,1,1
PT,1,1,1,0,0,0,0,1,1
TA,1,1,0,0,0,1,0,1,1
TAX,1,1,0,0,1,1,0,1,1
TX,1,1,0,0,1,0,0,1,1
PTAX,1,1,1,0,1,1,0,1,1
PTX,1,1,1,0,1,0,0,1,1
PTA ,1,1,1,0,0,1,0,1,1
