model,beta,Q,alpha,shape,Qprior,p_pr,p_srev,p_com
RF,1,1,0,0,0,0,0,0
V,1,1,0,1,0,0,0,0
P,1,1,1,0,0,0,0,0
PV,1,1,1,1,0,0,0,0
AX,1,1,0,0,0,1,1,0
X,1,1,0,0,0,1,0,0
A,1,1,0,0,0,0,1,0
VA,1,1,0,1,0,0,1,0
PAX,1,1,1,0,0,1,1,0
VAX,1,1,0,1,0,1,1,0
PX,1,1,1,0,0,1,0,0
PA,1,1,1,0,0,0,1,0
VX,1,1,0,1,0,1,0,0
PVAX,1,1,1,1,0,1,1,0
PVX,1,1,1,1,0,1,0,0
PVA,1,1,1,1,0,0,1,0
