model,beta,Q,alpha,shape,Qprior,p_pr,p_srev,p_com,z
PZ,1,1,1,0,0,0,0,0,1
PVZ,1,1,1,1,0,0,0,0,1
PAXZ,1,1,1,0,0,1,1,0,1
PXZ,1,1,1,0,0,1,0,0,1
PAZ,1,1,1,0,0,0,1,0,1
PVAXZ,1,1,1,1,0,1,1,0,1
PVXZ,1,1,1,1,0,1,0,0,1
PVAZ,1,1,1,1,0,0,1,0,1
